ID,CustomerAgeinmonths,Churn1Yes0No,CHIScoreMonth0,CHIScore01,SupportCasesMonth0,SupportCases01,SPMonth0,SP01,Logins01,BlogArticles01,Views01,DaysSinceLastLogin01
1,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
2,67.0,0.0,62.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,31.0
3,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
4,63.0,0.0,231.0,1.0,1.0,1.0,3.0,0.0,167.0,8.0,21996.0,0.0
5,57.0,0.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,31.0
6,58.0,0.0,138.0,10.0,0.0,0.0,0.0,0.0,43.0,0.0,33.0,0.0
7,57.0,0.0,180.0,5.0,1.0,1.0,3.0,3.0,13.0,1.0,907.0,0.0
8,46.0,0.0,116.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,6.0
9,56.0,0.0,78.0,7.0,1.0,2.0,3.0,0.0,9.0,1.0,0.0,7.0
10,56.0,0.0,78.0,37.0,0.0,0.0,0.0,0.0,7.0,0.0,30.0,14.0
11,53.0,0.0,91.0,1.0,0.0,0.0,0.0,0.0,14.0,3.0,0.0,0.0
12,56.0,0.0,40.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,31.0
13,57.0,0.0,215.0,15.0,0.0,0.0,0.0,0.0,71.0,9.0,8658.0,0.0
14,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
15,55.0,0.0,118.0,63.0,0.0,0.0,0.0,0.0,5.0,1.0,995.0,0.0
16,56.0,0.0,59.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,31.0
17,52.0,0.0,67.0,25.0,0.0,0.0,0.0,0.0,4.0,0.0,77.0,31.0
18,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,31.0
19,54.0,0.0,258.0,4.0,1.0,0.0,3.0,0.0,34.0,6.0,149.0,0.0
20,54.0,0.0,89.0,12.0,1.0,1.0,3.0,3.0,41.0,8.0,29.0,0.0
21,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
22,54.0,0.0,142.0,1.0,0.0,0.0,0.0,0.0,26.0,1.0,4.0,13.0
23,53.0,0.0,86.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,53.0,31.0
24,53.0,0.0,100.0,5.0,0.0,1.0,0.0,3.0,0.0,0.0,8.0,2.0
25,53.0,0.0,103.0,12.0,0.0,0.0,0.0,0.0,6.0,1.0,40.0,1.0
26,46.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0
